id,trade_id,timestamp,symbol,price,quantity,buy_order_id,sell_order_id,buy_agent_id,sell_agent_id,aggressor_side,market_impact
76,TRD_20240102_094500_000076,2024-01-02 09:45:00,GOOGL,2503.12,898,ORD_hft_0019_20240102_094500_3495,ORD_retail_0224_20240102_094500_5353,hft_0019,retail_0224,SELL,0.0012439950240197728
77,TRD_20240102_094500_000077,2024-01-02 09:45:00,GOOGL,2503.3,745,ORD_hft_0040_20240102_094500_3872,ORD_retail_0224_20240102_094500_5353,hft_0040,retail_0224,SELL,7.191025600062763e-05
78,TRD_20240102_094500_000078,2024-01-02 09:45:00,GOOGL,2501.14,248,ORD_hft_0051_20240102_094500_3230,ORD_retail_0224_20240102_094500_5353,hft_0051,retail_0224,SELL,0.0008628610234491707
79,TRD_20240102_094500_000079,2024-01-02 09:45:00,GOOGL,2503.55,335,ORD_hft_0054_20240102_094500_1599,ORD_retail_0224_20240102_094500_5353,hft_0054,retail_0224,BUY,0.000963560616359064
80,TRD_20240102_094500_000080,2024-01-02 09:45:00,AAPL,150.75,196,ORD_hft_0027_20240102_094500_7545,ORD_hft_0003_20240102_094500_8831,hft_0027,hft_0003,BUY,0.0017039842979485187
81,TRD_20240102_094600_000081,2024-01-02 09:46:00,GOOGL,2499.02,141,ORD_hft_0004_20240102_094600_1476,ORD_retail_0133_20240102_094600_3964,hft_0004,retail_0133,SELL,0.0018528719992667987
82,TRD_20240102_094600_000082,2024-01-02 09:46:00,GOOGL,2500.05,186,ORD_hft_0007_20240102_094600_5407,ORD_retail_0133_20240102_094600_3964,hft_0007,retail_0133,SELL,0.00041216156733447516
83,TRD_20240102_094600_000083,2024-01-02 09:46:00,GOOGL,2499.05,186,ORD_hft_0018_20240102_094600_7714,ORD_retail_0133_20240102_094600_3964,hft_0018,retail_0133,SELL,0.00039999200015999675
84,TRD_20240102_094600_000084,2024-01-02 09:46:00,GOOGL,2502.15,186,ORD_hft_0021_20240102_094600_3197,ORD_retail_0133_20240102_094600_3964,hft_0021,retail_0133,SELL,0.0012404713791240307
85,TRD_20240102_094600_000085,2024-01-02 09:46:00,GOOGL,2501.06,186,ORD_hft_0024_20240102_094600_6199,ORD_retail_0133_20240102_094600_3964,hft_0024,retail_0133,SELL,0.00043562536218857604
86,TRD_20240102_094600_000086,2024-01-02 09:46:00,GOOGL,2501.45,186,ORD_hft_0031_20240102_094600_3509,ORD_retail_0133_20240102_094600_3964,hft_0031,retail_0133,SELL,0.00015593388403311903
87,TRD_20240102_094600_000087,2024-01-02 09:46:00,GOOGL,2499.18,186,ORD_hft_0035_20240102_094600_6314,ORD_retail_0133_20240102_094600_3964,hft_0035,retail_0133,SELL,0.0009074736652741337
88,TRD_20240102_094600_000088,2024-01-02 09:46:00,GOOGL,2502.78,186,ORD_hft_0050_20240102_094600_3181,ORD_retail_0133_20240102_094600_3964,hft_0050,retail_0133,SELL,0.0014404724749719365
89,TRD_20240102_094600_000089,2024-01-02 09:46:00,GOOGL,2502.66,186,ORD_hft_0055_20240102_094600_4749,ORD_retail_0133_20240102_094600_3964,hft_0055,retail_0133,SELL,4.7946683288321626e-05
90,TRD_20240102_094600_000090,2024-01-02 09:46:00,GOOGL,2503.46,119,ORD_hft_0058_20240102_094600_7831,ORD_retail_0133_20240102_094600_3964,hft_0058,retail_0133,SELL,0.00031965988188574636
91,TRD_20240102_094600_000091,2024-01-02 09:46:00,GOOGL,2500.49,186,ORD_market_maker_0001_20240102_094600_4946,ORD_retail_0133_20240102_094600_3964,market_maker_0001,retail_0133,SELL,0.001186358080416805
92,TRD_20240102_094600_000092,2024-01-02 09:46:00,AAPL,150.61,55,ORD_hft_0008_20240102_094600_1325,ORD_hft_0048_20240102_094600_8059,hft_0008,hft_0048,SELL,0.0008908411931151457
93,TRD_20240102_094600_000093,2024-01-02 09:46:00,AAPL,150.59,55,ORD_hft_0010_20240102_094600_7753,ORD_hft_0048_20240102_094600_8059,hft_0010,hft_0048,SELL,0.00013279330721738418
94,TRD_20240102_094600_000094,2024-01-02 09:46:00,AAPL,150.63,51,ORD_hft_0017_20240102_094600_2917,ORD_hft_0048_20240102_094600_8059,hft_0017,hft_0048,SELL,0.000265621887243456
95,TRD_20240102_094600_000095,2024-01-02 09:46:00,AAPL,150.61,55,ORD_hft_0038_20240102_094600_7656,ORD_hft_0048_20240102_094600_8059,hft_0038,hft_0048,SELL,0.00013277567549612834
96,TRD_20240102_094600_000096,2024-01-02 09:46:00,AAPL,150.57,55,ORD_hft_0042_20240102_094600_7316,ORD_hft_0048_20240102_094600_8059,hft_0042,hft_0048,SELL,0.00026558661443476837
97,TRD_20240102_094600_000097,2024-01-02 09:46:00,AAPL,150.65,55,ORD_hft_0043_20240102_094600_5892,ORD_hft_0048_20240102_094600_8059,hft_0043,hft_0048,SELL,0.0005313143388458027
98,TRD_20240102_094700_000098,2024-01-02 09:47:00,GOOGL,2497.46,226,ORD_hft_0001_20240102_094700_2266,ORD_retail_0109_20240102_094700_4085,hft_0001,retail_0109,SELL,0.0012818608662426986
99,TRD_20240102_094700_000099,2024-01-02 09:47:00,GOOGL,2497.48,102,ORD_hft_0005_20240102_094700_5365,ORD_retail_0109_20240102_094700_4085,hft_0005,retail_0109,SELL,8.008136266439427e-06
100,TRD_20240102_094700_000100,2024-01-02 09:47:00,GOOGL,2498.41,193,ORD_hft_0006_20240102_094700_2896,ORD_retail_0109_20240102_094700_4085,hft_0006,retail_0109,SELL,0.00037237535435712647
